timestamp,err_x,err_y,dist_px,base_angle,camv_angle,dirV,dirH
1772319857.7335756,-0.8583333333333333,0.14375,211.07344693257843,79.96637373723189,73.4259857359261,-1.0,-1.0
1772319878.7329068,-0.775,-0.04375,186.52613757862463,95.39985278958906,78.85837230561792,-1.0,-1.0
1772319931.0726154,-0.7916666666666666,0.209375,201.4671189052943,97.06101632312445,71.75213707094845,-1.0,-1.0
1772319931.2706957,-0.5208333333333334,-0.025,125.25573839150046,97.06101632312445,74.87713707094845,-1.0,-1.0
1772319931.4424314,-0.2833333333333333,-0.275,111.21151019566275,98.29851632312445,76.57713707094845,-1.0,-1.0
1772319931.606923,-0.20833333333333334,-0.375,130.0,99.98601632312445,77.82713707094845,-1.0,-1.0
1772319931.8009531,-0.20833333333333334,-0.375,130.0,101.67351632312445,79.07713707094845,-1.0,-1.0
1772319931.9719293,-0.25833333333333336,-0.315625,118.51160280748886,103.09382882312444,80.62713707094845,-1.0,-1.0
1772319932.1716697,-0.45416666666666666,-0.3,145.24806367039804,104.44382882312443,83.35213707094844,-1.0,-1.0
1772319932.3538196,-0.5666666666666667,-0.171875,146.70037491431302,105.21726632312443,86.75213707094845,-1.0,-1.0
1772319932.5050333,-0.6125,-0.090625,149.83324063771698,105.62507882312444,90.42713707094845,-1.0,-1.0
1772319932.683555,-0.6125,-0.06875,148.6371420607918,105.93445382312444,94.10213707094844,-1.0,-1.0
1772319932.8527958,-0.7041666666666667,0.021875,169.14490828872147,105.93445382312444,98.32713707094844,-1.0,-1.0
1772319933.0482888,-0.7375,0.1375,182.3869512876401,105.31570382312444,102.75213707094844,-1.0,-1.0
1772319933.2253475,-0.7541666666666667,0.203125,192.31744590650115,104.40164132312444,107.27713707094844,-1.0,-1.0
1772319933.3840733,-0.7291666666666666,0.31875,202.5561650505854,102.96726632312443,111.65213707094844,-1.0,-1.0
1772319933.5558553,-0.7291666666666666,0.3875,214.478437144623,101.22351632312443,116.02713707094844,-1.0,-1.0
1772319933.725598,-0.8125,0.540625,260.679880313,98.79070382312443,120.90213707094844,-1.0,-1.0
1772319933.8829405,-0.8041666666666667,0.6875,292.6585040623286,95.69695382312443,125.72713707094844,-1.0,-1.0
1772319934.0351815,-0.8,0.778125,314.42805218364344,92.19539132312443,130.0,-1.0,-1.0
1772319934.1962724,-0.7958333333333333,0.890625,343.0830803172899,88.18757882312443,130.0,-1.0,-1.0
1772319934.3552566,-0.7958333333333333,0.98125,367.52823020823854,83.77195382312442,130.0,-1.0,-1.0
1772319945.5770748,0.6541666666666667,0.51875,228.4841351166422,93.57900835588951,76.06282125331765,-1.0,-1.0
1772319945.749266,0.575,0.503125,212.04952251773642,91.31494585588952,72.61282125331765,-1.0,-1.0
1772319945.928091,0.5041666666666667,0.49375,199.01004999748127,89.09307085588952,69.58782125331764,-1.0,-1.0
1772319946.1036794,0.4083333333333333,0.471875,180.01388835309348,86.96963335588953,67.13782125331764,-1.0,-1.0
1772319946.2525597,0.31666666666666665,0.421875,154.92256130079957,85.07119585588953,65.23782125331763,-1.0,-1.0
1772319946.4064443,0.275,0.38125,138.70832707519762,83.35557085588952,63.587821253317635,-1.0,-1.0
1772319946.5897229,0.24583333333333332,0.34375,124.82387592123551,81.80869585588952,62.112821253317634,-1.0,-1.0
1772319946.7551901,0.14166666666666666,0.234375,82.34682750416071,80.75400835588952,61.26282125331763,-1.0,-1.0
1772319946.9189882,0.14166666666666666,0.20625,74.24284477308234,79.82588335588953,60.41282125331763,-1.0,-1.0
1772319947.0854976,0.14166666666666666,0.1125,49.51767361255979,79.31963335588954,59.56282125331763,-1.0,-1.0
1772319947.2713346,0.1375,0.071875,40.22437072223753,78.99619585588954,58.73782125331763,-1.0,-1.0
1772319947.4642074,0.1375,-0.021875,33.734255586866,78.99619585588954,57.912821253317624,-1.0,-1.0
1772319947.620115,0.1375,-0.071875,40.22437072223753,79.31963335588954,57.08782125331762,-1.0,-1.0
1772319947.7833576,0.1375,-0.1125,48.83646178829912,79.82588335588953,56.26282125331762,-1.0,-1.0
1772319947.93847,0.13333333333333333,-0.18125,66.24198064671678,80.64150835588953,55.46282125331762,-1.0,-1.0
1772319948.0973012,0.12916666666666668,-0.234375,81.15417426109393,81.69619585588953,54.68782125331762,-1.0,-1.0
1772319948.263131,0.13333333333333333,-0.278125,94.57801012920498,82.94775835588953,53.887821253317625,-1.0,-1.0
1772319948.4163468,0.1375,-0.315625,106.25441167311595,84.36807085588953,53.06282125331762,-1.0,-1.0
1772319948.5627127,0.1375,-0.359375,119.64113005150027,85.98525835588953,52.23782125331762,-1.0,-1.0
1772319948.7273614,0.11666666666666667,-0.3875,127.12198865656563,87.72900835588953,51.53782125331762,-1.0,-1.0
1772319948.888383,0.025,-0.425,136.13228860193308,89.64150835588953,51.53782125331762,-1.0,-1.0
1772319949.0691469,0.029166666666666667,-0.4875,156.1569723067145,91.83525835588952,51.53782125331762,-1.0,-1.0
1772319949.238463,0.0125,-0.53125,170.02646852769718,94.22588335588952,51.53782125331762,-1.0,-1.0
1772319949.3953605,-0.041666666666666664,-0.575,184.27153876819935,96.81338335588953,51.53782125331762,-1.0,-1.0
1772319949.5599678,-0.09166666666666666,-0.6125,197.2308292331602,99.56963335588952,52.087821253317614,-1.0,-1.0
1772319949.732322,-0.14166666666666666,-0.63125,204.84140206510986,102.41025835588952,52.937821253317615,-1.0,-1.0
1772319949.906393,-0.2,-0.653125,214.44113411377026,105.34932085588953,54.13782125331762,-1.0,-1.0
1772319950.0575328,-0.24583333333333332,-0.665625,221.02036105300343,108.34463335588953,55.61282125331762,-1.0,-1.0
1772319950.2312214,-0.3375,-0.665625,227.8815481779953,111.33994585588952,57.63782125331762,-1.0,-1.0
1772319950.3866537,-0.42083333333333334,-0.665625,235.73289969794203,114.33525835588952,60.16282125331762,-1.0,-1.0
1772319950.5368564,-0.49583333333333335,-0.659375,242.24367896810023,117.30244585588952,63.13782125331762,-1.0,-1.0
1772319950.698404,-0.5708333333333333,-0.646875,248.22973230457305,120.21338335588952,66.56282125331762,-1.0,-1.0
1772319950.8593726,-0.6916666666666667,-0.634375,262.23081436017395,123.06807085588952,70.71282125331763,-1.0,-1.0
1772319951.0245314,-0.7958333333333333,-0.61875,275.10906927980403,125.85244585588951,75.48782125331763,-1.0,-1.0
1772319951.1838467,-0.8458333333333333,-0.5875,276.68212808202844,128.4961958558895,80.56282125331764,-1.0,-1.0
1772319958.388622,-0.8,0.24375,207.23899247004653,45.63760135865819,70.88106685350272,-1.0,-1.0
1772319958.5598142,-0.5666666666666667,0.175,147.07821048680188,44.850101358658186,74.28106685350272,-1.0,-1.0
1772319958.738991,-0.4166666666666667,0.13125,108.46197490364999,44.25947635865818,76.78106685350272,-1.0,-1.0
1772319958.9127753,-0.225,0.11875,66.03029607687671,43.725101358658186,78.13106685350272,-1.0,-1.0
1772319959.0933235,0.025,0.09375,30.59411708155671,43.303226358658186,78.13106685350272,-1.0,-1.0
1772319959.2705562,0.22916666666666666,0.0875,61.71709649683789,42.90947635865819,76.75606685350272,-1.0,-1.0
1772319959.450141,0.42916666666666664,0.090625,107.00467279516349,42.50166385865819,74.18106685350271,-1.0,-1.0
1772319959.6334581,0.65,0.096875,159.05030650709227,42.06572635865819,70.28106685350271,-1.0,-1.0
1772319959.8053007,0.825,0.109375,201.0696396774013,41.57353885865819,65.3310668535027,-1.0,-1.0
1772319959.9718046,0.9458333333333333,0.121875,230.32585612562042,41.02510135865819,59.65606685350271,-1.0,-1.0
1772319967.874091,0.8958333333333334,-0.49375,266.8126683649035,121.11703758631413,54.93893058282361,-1.0,-1.0
1772319968.0763984,0.725,-0.496875,235.7053245049844,123.35297508631413,50.58893058282361,-1.0,-1.0
1772319968.2650583,0.5125,-0.54375,213.08449028495716,125.79985008631414,47.513930582823605,-1.0,-1.0
1772319968.4618392,0.3125,-0.571875,197.7725966861941,128.37328758631415,45.638930582823605,-1.0,-1.0
1772319968.669312,0.09583333333333334,-0.603125,194.36563482261982,131.08735008631416,45.0639305828236,-1.0,-1.0
1772319968.8770711,-0.1,-0.665625,214.34784813475503,134.08266258631417,45.6639305828236,-1.0,-1.0
1772319969.0855925,-0.35,-0.71875,244.85914318236107,137.31703758631417,47.763930582823605,-1.0,-1.0
1772319969.2668755,-0.55,-0.721875,266.05450569385215,140.56547508631417,51.0639305828236,-1.0,-1.0
1772319969.4554873,-0.6958333333333333,-0.7375,289.110705439975,143.88422508631416,55.2389305828236,-1.0,-1.0
1772319969.65003,-0.8583333333333333,-0.728125,311.0064308016797,147.16078758631417,60.3889305828236,-1.0,-1.0
1772320006.3810909,-0.8375,-0.896875,350.3855019831728,64.68772658403284,65.34975568002932,-1.0,-1.0
1772320006.575008,-0.7291666666666666,-0.928125,344.7230772663762,68.86428908403285,69.72475568002932,-1.0,-1.0
1772320006.74486,-0.6416666666666667,-0.934375,336.3287082602376,73.06897658403285,73.57475568002931,-1.0,-1.0
1772320006.9282799,-0.5625,-0.94375,330.80054413498175,77.31585158403286,76.94975568002931,-1.0,-1.0
1772320007.1084228,-0.5,-0.94375,324.96769070170654,81.56272658403286,79.94975568002931,-1.0,-1.0
1772320007.299607,-0.4583333333333333,-0.95,323.2893440866865,85.83772658403286,82.69975568002931,-1.0,-1.0
1772320007.508037,-0.4625,-0.95,323.6309626719916,90.11272658403287,85.47475568002932,-1.0,-1.0
1772320007.6949081,-0.44583333333333336,-0.9,307.23443817384793,94.16272658403287,88.14975568002932,-1.0,-1.0
1772320007.8613594,-0.42916666666666664,-0.840625,288.0451353520833,97.94553908403287,90.72475568002932,-1.0,-1.0
1772320008.013376,-0.42916666666666664,-0.784375,271.31162894354526,101.47522658403287,93.29975568002932,-1.0,-1.0
1772320008.200709,-0.45416666666666666,-0.7125,252.7152547829276,104.68147658403286,96.02475568002932,-1.0,-1.0
1772320008.3604636,-0.6833333333333333,-0.625,258.6426105652354,107.49397658403286,100.12475568002931,-1.0,-1.0
1772320008.5162258,-0.7375,-0.528125,244.72433471152803,109.87053908403287,104.5497556800293,-1.0,-1.0
1772320008.6833832,-0.8083333333333333,-0.375,228.114006584427,111.55803908403287,109.3997556800293,-1.0,-1.0
1772320020.577417,-0.8416666666666667,-0.55,267.9178978717174,57.85006715435566,78.07749022692764,-1.0,-1.0
1772320020.7481985,-0.8041666666666667,-0.56875,265.27909830968593,60.409442154355666,82.90249022692764,-1.0,-1.0
1772320020.921119,-0.6958333333333333,-0.590625,252.21022976873877,63.067254654355665,87.07749022692764,-1.0,-1.0
1772320021.0875082,-0.5583333333333333,-0.609375,236.60304309116566,65.80944215435566,90.42749022692763,-1.0,-1.0
1772320021.269095,-0.4166666666666667,-0.61875,221.81974664127628,68.59381715435566,92.92749022692763,-1.0,-1.0
1772320021.4409108,-0.32916666666666666,-0.625,215.03720608304042,71.40631715435566,94.90249022692763,-1.0,-1.0
1772320021.6194556,-0.25416666666666665,-0.63125,211.00947846009194,74.24694215435566,96.42749022692763,-1.0,-1.0
1772320021.7906644,-0.16666666666666666,-0.525,172.69626515938322,76.60944215435566,97.42749022692763,-1.0,-1.0
1772320021.9734058,-0.16666666666666666,-0.425,141.7603611733548,78.52194215435566,98.42749022692763,-1.0,-1.0
1772320022.1640742,-0.17083333333333334,-0.359375,122.09013064126027,80.13912965435566,99.45249022692764,-1.0,-1.0
1772320022.3517632,-0.1625,-0.28125,98.08669634563088,81.40475465435566,100.42749022692763,-1.0,-1.0
1772320022.5422883,-0.15833333333333333,-0.23125,83.18653737234169,82.44537965435566,101.37749022692763,-1.0,-1.0
1772320022.714291,-0.15416666666666667,-0.10625,50.24937810560445,82.92350465435567,102.30249022692763,-1.0,-1.0
1772320022.8865528,-0.15,-0.1,48.16637831516918,83.37350465435567,103.20249022692764,-1.0,-1.0
