timestamp,err_x_rel,err_y_rel,dist_px,aciertos,fallos,peso_v_x,peso_h_y
1772321693.29691,-0.004166666666666667,-0.8,256.0019531175495,0,0,-0.0175,0.004791666666666668
1772321693.4662533,0.15833333333333333,-0.83125,268.70057685088807,0,0,-0.0175,0.004791666666666668
1772321693.648187,0.19166666666666668,-0.853125,276.8483339303309,0,0,-0.0175,0.004791666666666668
1772321693.8115227,0.15833333333333333,-0.85,274.64158461529456,0,0,-0.0175,0.004791666666666668
1772321693.9912844,0.14583333333333334,-0.828125,267.30132809247317,0,0,-0.0175,0.004791666666666668
1772321694.161084,0.14583333333333334,-0.8375,270.27578507887085,0,0,-0.0175,0.004791666666666668
1772321694.3194504,0.13333333333333333,-0.846875,272.88275870783775,0,0,-0.0175,0.004791666666666668
1772321694.5021925,0.13333333333333333,-0.85,273.87588429797904,0,0,-0.0175,0.004791666666666668
1772321694.6669724,0.1375,-0.853125,274.9872724327437,0,0,-0.0175,0.004791666666666668
1772321694.831187,0.14166666666666666,-0.85625,276.1014306373656,0,0,-0.0175,0.004791666666666668
1772321694.9992633,0.14166666666666666,-0.853125,275.10906927980403,0,0,-0.0175,0.004791666666666668
1772321695.1610725,0.14166666666666666,-0.853125,275.10906927980403,0,0,-0.0175,0.004791666666666668
1772321695.304941,0.1375,-0.840625,271.01660465735307,0,0,-0.0175,0.004791666666666668
1772321695.4643831,0.14166666666666666,-0.78125,252.30140705116966,0,0,-0.0175,0.004791666666666668
1772321695.6135888,0.15,-0.76875,248.62019226120793,0,0,-0.0175,0.004791666666666668
1772321695.7590652,0.15416666666666667,-0.76875,248.766959220874,0,0,-0.0175,0.004791666666666668
1772321695.9122,0.15833333333333333,-0.78125,252.87150887357794,0,0,-0.0175,0.004791666666666668
1772321696.0600834,0.15416666666666667,-0.76875,248.766959220874,0,0,-0.0175,0.004791666666666668
1772321696.2295375,0.15833333333333333,-0.784375,253.86019774671254,0,0,-0.0175,0.004791666666666668
1772321696.3971534,0.15416666666666667,-0.78125,252.7231687044146,0,0,-0.0175,0.004791666666666668
1772321696.557582,0.1625,-0.784375,254.01181074902797,0,0,-0.0175,0.004791666666666668
1772321696.7209225,0.1625,-0.76875,249.07227866625382,0,0,-0.0175,0.004791666666666668
1772321696.8683686,0.1625,-0.78125,253.02371430362015,0,0,-0.0175,0.004791666666666668
1772321697.0264194,0.15833333333333333,-0.784375,253.86019774671254,0,0,-0.0175,0.004791666666666668
1772321697.1745665,0.1625,-0.784375,254.01181074902797,0,0,-0.0175,0.004791666666666668
1772321697.354571,0.15833333333333333,-0.778125,251.88290930509754,0,0,-0.0175,0.004791666666666668
1772321697.5228539,0.15833333333333333,-0.78125,252.87150887357794,0,0,-0.0175,0.004791666666666668
1772321697.6735632,0.15416666666666667,-0.78125,252.7231687044146,0,0,-0.0175,0.004791666666666668
1772321697.8512619,0.15416666666666667,-0.78125,252.7231687044146,0,0,-0.0175,0.004791666666666668
1772321698.0229254,0.1625,-0.784375,254.01181074902797,0,0,-0.0175,0.004791666666666668
1772321698.194964,0.15833333333333333,-0.765625,247.9294254419995,0,0,-0.0175,0.004791666666666668
1772321698.3615835,0.15833333333333333,-0.7625,246.94128856876083,0,0,-0.0175,0.004791666666666668
1772321698.5334961,0.1625,-0.76875,249.07227866625382,0,0,-0.0175,0.004791666666666668
1772321698.6981134,0.15833333333333333,-0.765625,247.9294254419995,0,0,-0.0175,0.004791666666666668
1772321698.8668678,0.2,-0.7875,256.5306999171834,0,0,-0.0175,0.004791666666666668
1772321699.0318134,0.2708333333333333,-0.784375,259.27977167530827,0,0,-0.0175,0.004791666666666668
1772321699.2111304,0.2791666666666667,-0.771875,255.92577048824137,0,0,-0.0175,0.004791666666666668
